country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","14-04-2025 10:00:00",16.536107,80.594233,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","14-04-2025 10:00:00",16.536107,80.594233,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","14-04-2025 10:00:00",16.554731,80.649110,PM10,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","14-04-2025 10:00:00",16.554731,80.649110,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","14-04-2025 10:00:00",16.554731,80.649110,SO2,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-04-2025 10:00:00",17.72,83.3,CO,9,20,16
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","14-04-2025 10:00:00",27.103358,93.679645,PM2.5,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-04-2025 10:00:00",26.10887,91.589544,OZONE,12,19,16
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-04-2025 10:00:00",14.675886,77.593027,CO,18,22,21
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-04-2025 10:00:00",13.204880,79.097889,NO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","14-04-2025 10:00:00",14.465052,78.824187,CO,16,16,16
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","14-04-2025 10:00:00",11.654054,92.734055,OZONE,2,11,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","14-04-2025 10:00:00",16.5150833,80.5181667,PM2.5,24,78,48
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","14-04-2025 10:00:00",25.859655,85.77944,OZONE,6,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-04-2025 10:00:00",24.952822,84.002396,NH3,2,3,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-04-2025 10:00:00",24.952822,84.002396,SO2,5,5,5
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","14-04-2025 10:00:00",26.2271665,84.3570427,PM10,24,115,62
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","14-04-2025 10:00:00",30.735567,76.775714,PM10,27,102,55
